DateTime,AddedIPs,RemovedIPs
1576443013,0,1
1576448053,21,0
1576457713,1,0
1576458851,0,1
1576463291,1,0
1576464912,0,1
1576466120,0,2
1576467734,1,0
1576471214,2,0
1576474934,1,2
1576484053,0,2
1576492512,0,1
1576494914,0,2
1576496532,1,1
1576500971,0,1
1576502113,0,1
1576507931,15,0
1576509312,0,1
1576510932,1,0
1576512134,0,1
1576525212,1,0
1576526431,1,0
1576529113,0,1
1576530615,1,0
1576532532,1,1
1576536133,0,3
1576537730,3,1
1576541414,0,1
1576546934,1,0
1576551130,0,1
1576557733,3,2
1576563251,3,0
1576566135,0,1
1576567814,0,1
1576570456,2,1
1576575552,0,2
1576579332,0,2
1576581313,1,0
1576582946,0,1
1576586321,0,1
1576587507,0,1
1576590314,0,1
1576593354,0,1
1576595582,1,0
1576597515,2,0
1576598656,1,0
1576601772,1,0
1576604546,1,1
1576608140,1,0
1576610053,0,1
1576614915,0,1
1576616386,0,1
1576619112,0,23
1576625712,1,0
1576628051,0,2
1576629735,1,0
1576635315,1,0
1576642214,1,0
1576650913,1,1
1576653252,0,1
1576655773,0,1
1576659311,1,0
1576662972,0,1
1576664052,1,0
1576666572,1,2
1576667653,1,0
1576669838,1,1
1576672215,1,0
1576674851,1,0
1576676112,0,1
1576677374,0,16
1576679639,0,1
1576680801,1,0
1576687332,1,0
1576691713,0,1
1576695642,0,1
1576706172,3,0
1576708933,1,0
1576712535,0,1
1576717111,1,0
1576724773,1,2
1576728585,0,1
1576729692,1,0
1576731921,1,2
1576733414,0,1
1576734612,1,1
1576735815,1,0
1576739239,1,0
1576743252,1,0
1576746852,1,0
1576747693,1,0
1576748532,0,2
1576750213,0,3
1576752132,1,0
1576753821,0,1
1576761316,1,0
1576770148,0,4
1576772053,0,1
1576775421,1,0
1576777812,0,1
1576779315,0,1
1576782614,1,0
1576783814,2,0
1576788015,1,0
1576793413,1,2
1576797021,0,1
1576804213,2,1
1576805416,1,0
1576811126,1,0
1576813339,0,1
1576814174,1,0
1576816513,1,0
1576834513,0,2
1576835771,1,2
1576844052,0,2
1576846572,2,0
1576847654,1,0
1576854614,0,1
1576856533,0,2
1576858450,2,0
1576861492,0,1
1576862991,0,3
1576865654,1,0
1576868174,1,0
1576869252,1,0
1576870354,0,1
1576873691,0,1
1576876214,1,0
1576877414,0,1
1576879191,23,0
1576880416,1,0
1576882571,0,1
1576888213,0,1
1576890613,1,1
1576901413,0,2
1576903341,1,0
1576906939,0,1
1576912213,1,1
1576916895,1,0
1576917739,0,1
1576923253,0,1
1576924819,0,1
1576926851,0,1
1576942092,1,0
1576943772,1,0
1576955650,1,0
1576960941,0,1
1576965375,0,1
1576967563,0,1
1576972122,1,0
1576977015,1,0
1576978941,1,2
1576982542,1,0
1576984014,0,2
1576987813,0,2
1576990515,1,0
1576991651,1,0
1576995313,0,1
1576998618,1,0
1577000531,0,2
1577002057,0,1
1577003415,0,1
1577008571,0,1
1577009653,1,0
1577011107,0,2
1577016852,1,1
1577020216,1,0
1577026573,0,1
1577027652,0,1
1577036533,0,1
1577037371,1,0
1577038514,1,0
1577040021,0,1
1577041812,2,0
1577045713,1,0
1577047214,0,15
1577049014,0,10
1577050215,4,0
1577051412,9,0
1577053692,1,0
1577058021,1,1
1577063272,0,1
1577064470,3,0
1577065331,0,1
1577068935,0,2
1577072533,1,0
1577074455,1,0
1577077291,0,1
1577079617,0,1
1577082614,0,2
1577085013,0,1
1577086214,0,1
1577090417,0,2
1577094015,0,3
1577096412,1,0
1577101335,0,2
1577104092,1,1
1577105773,0,1
1577106914,1,0
1577110452,2,0
1577111560,0,2
1577115313,0,1
1577116511,1,0
1577117712,0,1
1577118912,0,1
1577121313,0,2
1577122934,0,1
1577136494,2,0
1577137337,3,1
1577138846,3,0
1577140216,3,0
1577142133,4,0
1577143813,1,0
1577145640,5,0
1577146821,1,0
1577148018,3,0
1577150052,3,0
1577150892,1,0
1577153651,3,0
1577154913,2,0
1577157013,1,1
1577158094,2,0
1577159412,2,0
1577160571,1,1
1577161692,1,0
1577164222,2,0
1577165415,2,0
1577166614,1,0
1577168052,1,0
1577168892,1,0
1577170393,3,0
1577171653,2,0
1577175252,3,1
1577176515,2,0
1577181013,2,0
1577182186,0,1
1577184198,2,0
1577185689,2,0
1577186891,1,0
1577188045,1,0
1577189260,0,1
1577190492,1,0
1577191812,1,0
1577202026,0,1
1577205749,2,1
1577212946,1,0
1577214613,1,0
1577218454,2,0
1577220147,1,1
1577222052,0,1
1577225651,1,0
1577228397,0,1
1577230968,1,0
1577232851,0,1
1577234421,0,2
1577238612,0,1
1577241014,0,1
1577243652,0,1
1577247252,0,1
1577248949,0,3
1577250621,0,1
1577253013,0,2
1577254453,0,1
1577256028,0,1
1577257815,0,4
1577259755,0,1
1577261652,0,1
1577263352,0,2
1577266214,1,0
1577267324,1,0
1577268616,0,2
1577270542,0,3
1577272222,0,2
